epoch,gen_loss,disc_loss,time_consumed
50,13.6798410416,0.0000020612,16.58
51,13.8142004013,0.0000016950,16.93
52,13.9469585419,0.0000014551,16.65
53,14.0795335770,0.0000012384,17.17
54,14.2097291946,0.0000010578,16.64
55,14.3523235321,0.0000009536,16.46
56,14.3495092392,0.0000008940,17.48
57,13.9588737488,0.0000017984,16.57
58,14.1270112991,0.0000016571,16.95
59,13.3513326645,0.0001232365,16.62
60,16.9968318939,0.0001364168,17.33
61,17.1027927399,0.0000004477,17.94
62,17.1854305267,0.0000003062,17.97
63,17.3913879395,0.0000002277,17.51
64,17.5526504517,0.0000001747,16.55
65,17.8388881683,0.0000002434,17.66
66,17.7207527161,0.0000002338,16.89
67,18.3563556671,0.0000001358,16.81
68,17.6887664795,0.0000001629,17.37
69,17.7503871918,0.0000001418,17.32
70,18.0988311768,0.0000000937,17.38
71,18.1387519836,0.0000000764,16.81
72,18.2707862854,0.0000000646,17.12
73,18.4300537109,0.0000000523,17.53
74,18.8145046234,0.0000000379,16.48
75,18.5741786957,0.0000000376,16.60
76,18.9216346741,0.0000000298,17.88
77,18.8420524597,0.0000000288,17.12
78,18.9103813171,0.0000000267,17.58
79,19.1878223419,0.0000000215,18.40
80,19.2310810089,0.0000000188,17.04
81,19.2077980042,0.0000000179,16.51
82,19.3313198090,0.0000000159,17.93
83,19.6803646088,0.0000000121,17.83
84,19.5005245209,0.0000000121,16.92
85,19.8915252686,0.0000000095,17.65
86,19.6392078400,0.0000000102,17.70
87,19.6763992310,0.0000000099,16.71
88,19.8183994293,0.0000000091,17.63
89,19.8054924011,0.0000000088,18.01
90,20.9636726379,0.0015963926,18.43
91,17.6084480286,0.0237894226,16.83
92,26.5670566559,0.0264614783,17.24
93,14.8610916138,0.0000145303,17.22
94,15.7316999435,0.0000154706,17.02
95,29.3884239197,0.0633101240,16.55
96,17.5923614502,0.0008392960,17.18
97,22.6780185699,0.0000082840,17.18
98,17.3080482483,0.0000056196,17.01
99,17.4684410095,0.0000155089,18.00
100,17.2280845642,0.0000015481,16.78
101,18.0773506165,0.0000008838,16.85
102,18.2002506256,0.0000008669,16.55
103,18.9297599792,0.0001101961,17.38
104,18.7250366211,0.0005127816,16.76
105,16.5473594666,0.0280664787,16.78
106,18.9491138458,0.3207832277,16.67
107,10.8692159653,0.0014545326,17.43
108,17.2555408478,0.0685400367,17.09
109,12.6557312012,0.0000112254,17.36
110,14.5523977280,0.0000034995,17.37
111,14.1618690491,0.0000036539,17.55
112,15.0863151550,0.0000014818,18.00
113,12.1119680405,0.0001644979,16.67
114,11.6294908524,0.0000907766,16.94
115,12.7341222763,0.0000131667,17.45
116,13.3747901917,0.0000086580,17.44
117,13.8709630966,0.0000047689,17.03
118,14.6415328979,0.0000018538,17.50
119,14.9814090729,0.0000011938,16.88
120,15.2400627136,0.0000007841,17.09
121,15.2337741852,0.0000007826,17.02
122,15.3999567032,0.0000009541,17.14
123,12.1604967117,0.1897375435,17.54
124,10.2307214737,0.3370002210,17.78
125,8.5892181396,0.0269049555,18.37
126,10.4412479401,0.0016941607,17.30
127,10.0766019821,0.0001666611,17.07
128,10.4771518707,0.0000548327,16.79
129,9.2196598053,0.0003591014,17.10
130,10.2862653732,0.0001043989,17.17
131,10.2189760208,0.0001084989,16.64
132,11.1790294647,0.0003501639,16.62
133,10.1398601532,0.0001705686,16.64
134,11.1626539230,0.0001044508,17.31
135,11.9419469833,0.3562725186,18.30
136,9.2041540146,0.0333772935,16.76
137,12.0778665543,0.0149376336,17.20
138,20.8282089233,0.1930229962,17.26
139,10.1898231506,0.0001463118,18.72
140,10.8213844299,0.0000396674,17.76
141,9.8190269470,0.1871338934,17.66
142,6.4651665688,0.2899048924,17.14
143,7.3707590103,0.1906107217,16.55
144,7.5858459473,0.1620837450,16.49
145,6.9808797836,0.1978282481,16.67
146,9.2807216644,0.3924606740,18.26
147,8.0139532089,0.1288692504,16.80
148,7.1444129944,0.0174708422,17.59
149,8.1288833618,0.1190004423,17.57
150,9.4393558502,0.1702325642,16.84
151,7.4476389885,0.2279851288,16.81
152,6.9359717369,0.3492943645,16.52
153,7.1808514595,0.2100421041,17.16
154,5.5110740662,0.1671335101,17.14
155,5.9615788460,0.3207545877,18.26
156,5.2476949692,0.1977272928,17.78
157,5.4680328369,0.3469562531,17.74
158,5.5716190338,0.3221644759,18.44
159,7.1321778297,0.0319890119,16.74
160,7.0836105347,0.0250345636,16.52
161,6.8991723061,0.0012659177,16.64
162,6.2113199234,0.3047893047,16.74
163,6.4923844337,0.2111685276,16.52
164,6.0719251633,0.0985108241,17.75
