epoch,vae_loss,disc_loss,time_consumed
0,7228.6674804688,0.6585848927,33.59
1,6927.2026367188,0.3096837997,30.68
2,6879.1777343750,0.1998597533,31.06
3,6807.7539062500,0.0007340045,30.74
4,6805.5224609375,0.0309072677,30.72
5,6799.4677734375,0.2738973498,31.46
6,6786.6816406250,0.0048083933,30.97
7,6759.1186523438,0.1366393864,31.25
8,6755.1127929688,0.1468366832,31.67
9,6776.8789062500,0.1928961128,30.55
10,6796.9379882812,0.1144352555,31.08
11,6797.5224609375,0.1595752537,30.53
12,6786.9443359375,0.1918129027,31.12
13,6779.5815429688,0.0868374929,30.68
14,6766.6596679688,0.1637372673,30.70
15,6781.8149414062,0.1168584526,31.03
16,6775.5087890625,0.2137650996,30.54
17,6754.1445312500,0.0383903161,30.79
18,6749.6474609375,0.1553119421,31.32
19,6793.5156250000,0.1319645941,30.74
20,6735.7915039062,0.0006335575,30.75
21,6758.3120117188,0.0284217764,31.47
22,6798.7841796875,0.2047238201,31.17
23,6762.0927734375,0.1844186932,31.30
24,6807.4389648438,0.2104170769,30.78
25,6125.8237304688,0.2136630863,31.35
26,6176.9047851562,0.3317053318,31.05
27,6140.9204101562,0.1755670458,30.82
28,6139.2109375000,0.2081878781,30.54
29,6082.5615234375,0.0026417375,31.11
30,6129.6943359375,0.0723143741,31.54
31,6136.5556640625,0.1332248896,30.81
32,6144.2490234375,0.2063678354,30.76
33,6155.8056640625,0.2874616086,30.58
34,6134.6328125000,0.1494583488,31.33
35,6113.9003906250,0.1891999245,31.17
36,6111.5400390625,0.1179393232,31.19
37,6146.0263671875,0.2460424304,30.60
38,6151.0722656250,0.2370495796,31.01
39,6090.9238281250,0.0202256627,31.85
40,6098.0874023438,0.0003166010,30.80
41,6105.5312500000,0.0001970633,30.91
42,6118.1093750000,0.0018366997,31.10
43,6110.7792968750,0.2251560390,30.71
44,6141.6074218750,0.2635711730,31.11
45,6141.8955078125,0.2528093457,30.98
46,6165.3461914062,0.2204491198,31.13
47,6121.0766601562,0.1660085917,30.86
48,6086.6757812500,0.0034681736,31.05
49,6152.8852539062,0.2360315174,30.69
50,5551.6025390625,0.3144189119,30.90
51,5560.6889648438,0.2860142887,30.79
52,5571.8076171875,0.3652535379,30.60
53,5539.8730468750,0.2336154580,30.54
54,5524.4492187500,0.1399145126,30.83
55,5556.3833007812,0.3273536861,30.88
56,5554.6333007812,0.1786436141,31.31
57,5560.2451171875,0.2389723659,30.67
58,5577.7612304688,0.4308832586,30.85
59,5526.6767578125,0.1294524670,31.15
60,5542.4291992188,0.1450640708,30.93
61,5553.2084960938,0.1875312179,30.63
62,5527.9750976562,0.1771695316,30.84
