epoch,vae_loss,disc_loss,time_consumed
0,8607.5019531250,0.8329288960,34.03
1,8205.8798828125,0.5993906856,31.09
2,8166.1279296875,0.2907071412,31.43
3,8116.9687500000,0.1814072132,31.01
4,8118.5517578125,0.0851030722,31.26
5,8136.6279296875,0.1360401064,31.18
6,8106.2304687500,0.2036975175,31.40
7,8099.0981445312,0.0076984018,31.26
8,8093.8686523438,0.0006117247,31.16
9,8101.0278320312,0.0005131967,31.01
10,8023.4916992188,0.4938746095,31.06
11,8048.3613281250,0.0671660677,31.20
12,8093.1933593750,0.1583919674,31.17
13,8079.7055664062,0.1219893843,31.07
14,8082.1518554688,0.2311953157,31.75
15,8014.4331054688,0.0022636580,31.04
16,8038.1777343750,0.0374182947,31.31
17,8047.5942382812,0.1910263598,30.79
18,8065.7250976562,0.2506277561,30.93
19,8072.0961914062,0.1419205219,30.89
20,8100.9326171875,0.1273561418,31.03
21,8067.3886718750,0.1681433767,30.86
22,8061.9223632812,0.1184751019,31.13
23,8092.6665039062,0.1710585058,30.95
24,8110.8481445312,0.1995777935,30.83
25,8070.0844726562,0.1643931419,30.93
26,7982.3637695312,0.0015037429,31.48
27,7997.3769531250,0.0007271460,31.16
28,8015.9760742188,0.0004982320,31.29
29,8047.7016601562,0.0007045132,31.38
30,8091.9296875000,0.0832664743,31.03
31,8062.3510742188,0.0000764240,31.19
32,8051.4409179688,0.0000209982,31.36
33,8044.6704101562,0.0000193622,31.11
34,8041.6416015625,0.0000211688,31.19
35,8041.1333007812,0.0000285467,31.21
36,8040.7460937500,0.0000334729,31.22
37,8044.1796875000,0.0529115871,31.12
38,8006.6518554688,0.1444518268,31.07
39,8010.1557617188,0.1468350738,30.97
40,8034.5751953125,0.1207643449,31.21
41,8062.7333984375,0.0844764560,31.21
42,8038.5766601562,0.1079928353,31.15
43,8055.7851562500,0.2486924976,31.11
44,7993.5322265625,0.1554722190,31.13
45,8040.4897460938,0.0027637114,30.94
46,8031.8427734375,0.0001259501,31.12
47,8046.4062500000,0.0003163727,31.22
48,8006.8315429688,0.1289639175,31.12
49,8033.2368164062,0.1496264488,31.14
50,7962.8964843750,0.1117339134,31.10
51,7998.9370117188,0.2353287637,31.11
52,8004.5776367188,0.0450504497,31.04
53,8020.1293945312,0.1443821490,31.23
54,8001.3056640625,0.1018517092,31.00
55,7982.7705078125,0.0034137450,31.14
56,8053.5312500000,0.1879993081,31.13
57,8012.6733398438,0.0042137280,31.17
58,8028.5322265625,0.1307078898,31.13
59,8031.3666992188,0.1193915159,30.92
60,8032.1054687500,0.0493229814,31.63
61,8046.5214843750,0.0824031830,32.13
62,8043.5869140625,0.1457563043,32.44
63,7972.2221679688,0.1284779012,32.50
64,8019.1909179688,0.0849005133,32.46
65,8039.6630859375,0.1406181306,31.31
66,8000.6757812500,0.0791416988,31.07
67,8037.2128906250,0.0827937871,31.14
68,8021.5380859375,0.2236905396,31.45
69,7994.9677734375,0.0864190534,31.21
70,8057.7167968750,0.2660690844,30.87
71,8032.6630859375,0.1291581690,31.18
72,8045.8344726562,0.0968668908,30.89
73,8075.1293945312,0.2664969862,31.48
74,8059.0590820312,0.1043930501,31.34
75,8074.7861328125,0.1908467859,30.89
76,8071.0908203125,0.1259349287,31.20
77,8095.0341796875,0.2511969805,31.18
78,7948.8945312500,0.0510810427,31.06
79,7979.0493164062,0.0001490537,31.71
80,8002.1777343750,0.0000700991,31.21
81,8059.8081054688,0.1274248958,30.90
82,8063.9750976562,0.2083095759,30.96
83,8041.6992187500,0.1589196920,31.27
84,8072.3417968750,0.2522176504,31.24
85,8079.2529296875,0.0873033702,31.21
86,8053.1982421875,0.0817325339,31.09
87,8063.1044921875,0.1317642778,30.98
88,8030.7890625000,0.0673717931,30.91
89,8025.6196289062,0.0021294036,31.26
90,8069.4609375000,0.2062879652,31.13
91,8058.0444335938,0.1701682210,30.96
92,8025.7602539062,0.2013543993,31.20
93,8081.6220703125,0.1517503262,31.29
94,8067.5102539062,0.1453110427,31.35
95,8077.0297851562,0.2040981948,31.22
96,8092.6582031250,0.1661456078,30.88
97,8073.6962890625,0.0938487202,31.55
98,8088.1386718750,0.1890898049,31.38
99,7962.6093750000,0.1869082153,31.43
100,8039.3710937500,0.1875311136,31.44
101,8054.0722656250,0.1544773877,31.32
102,8062.7387695312,0.0492468439,31.36
103,8057.0849609375,0.1883870214,31.23
104,8093.4204101562,0.2600885928,31.61
105,8072.6518554688,0.1241477132,31.34
106,8078.5683593750,0.0393441543,31.28
107,8064.4277343750,0.1105527207,30.96
108,8049.1562500000,0.1233930215,30.88
109,8067.7768554688,0.1372943223,31.55
110,8052.4072265625,0.0808647946,31.18
111,8052.3090820312,0.0380587429,31.21
112,8094.2758789062,0.0977621898,31.38
113,8028.5454101562,0.2236687392,31.39
114,7929.6240234375,0.0007368251,31.25
115,7952.7612304688,0.0000473141,31.45
116,7950.7724609375,0.0879470035,31.44
117,7962.8081054688,0.0002776191,31.27
118,8004.7065429688,0.0268101934,31.36
119,8038.4775390625,0.1824974120,31.29
120,8082.6518554688,0.2226482779,31.30
121,8066.6455078125,0.1552067697,31.25
122,8049.8935546875,0.1036188304,31.38
123,8095.9619140625,0.2730700970,31.25
124,8076.2016601562,0.1564892828,31.09
125,8012.5258789062,0.0029780248,31.08
126,8074.6269531250,0.2083173245,31.34
127,8063.8520507812,0.1612934321,31.19
128,8101.3520507812,0.2783870399,31.17
129,8040.8686523438,0.0241144206,31.11
130,8064.6723632812,0.0808642358,31.16
131,8074.5703125000,0.1440117657,31.34
132,8091.0795898438,0.2189693600,30.94
133,8070.2084960938,0.1604124904,30.86
134,8078.4721679688,0.1950782239,31.06
135,8001.2685546875,0.0007037928,30.98
136,8035.7075195312,0.0010033729,31.25
137,8039.7036132812,0.0001476401,31.14
138,8041.5166015625,0.0001075297,31.11
139,8045.8427734375,0.0000630797,30.84
140,8047.0156250000,0.0198521707,30.88
141,8000.3833007812,0.1537712812,31.17
142,7993.1850585938,0.0504589938,31.06
