epoch,vae_loss,disc_loss,time_consumed
0,3759.6520996094,0.5598893166,36.29
1,3607.8078613281,0.4275985956,33.50
2,3542.4560546875,0.3826678097,33.85
3,3556.9597167969,0.4852162004,33.55
4,3546.1647949219,0.4428040683,34.13
5,3525.0024414062,0.3391947746,34.13
6,3545.3408203125,0.4406343699,34.03
7,3555.4531250000,0.4219080806,33.78
8,3552.6115722656,0.4087575674,33.74
9,3572.3972167969,0.4920203388,34.12
10,3553.6806640625,0.3186048865,33.89
11,3547.2387695312,0.3922239542,33.86
12,3550.8825683594,0.4373577535,33.62
13,3529.0822753906,0.2933416069,33.83
14,3478.4831542969,0.0035931929,34.04
15,3504.7294921875,0.2594875097,34.25
16,3548.5634765625,0.4010741413,33.70
17,3570.9531250000,0.4897896051,33.95
18,3578.6538085938,0.5131846070,33.82
19,3546.8977050781,0.4384815395,33.86
20,3585.3547363281,0.5954399705,33.74
21,3558.5246582031,0.4767208099,33.49
22,3577.7023925781,0.4313716590,33.52
23,3580.4516601562,0.5187699795,33.89
24,3568.4597167969,0.4092366993,33.65
25,3572.3662109375,0.4848050177,33.68
26,3569.3833007812,0.4731723368,33.81
27,3547.2614746094,0.3904606104,33.55
28,3587.5383300781,0.4820581377,33.83
29,3585.1157226562,0.3773268759,33.93
30,3589.6782226562,0.4809027910,33.87
31,3578.2785644531,0.3441582322,33.70
32,3558.9692382812,0.4467931390,33.82
33,3594.6184082031,0.4347126782,33.49
34,3593.5563964844,0.4186801016,33.69
35,3605.2231445312,0.4413735867,34.25
36,3595.9182128906,0.4108430147,33.91
37,3602.7480468750,0.4333634377,33.49
38,3581.6059570312,0.4272940457,33.33
39,3570.8283691406,0.3735587001,33.45
40,3595.8945312500,0.4741514921,33.59
41,3587.6198730469,0.3987540603,34.08
42,3587.8767089844,0.3465892673,33.64
43,3587.2109375000,0.3279567659,33.68
44,3608.8752441406,0.4165357053,33.47
45,3588.7045898438,0.3454045057,33.36
46,3603.1582031250,0.3361082375,33.66
47,3629.0375976562,0.3943882585,33.61
48,3641.8642578125,0.3599836230,33.73
49,3625.2250976562,0.3010781705,33.52
50,3623.8012695312,0.3503077626,33.37
51,3613.9096679688,0.3701995611,33.63
52,3650.6223144531,0.2871521115,33.48
53,3650.0266113281,0.3268276751,33.80
54,3644.4487304688,0.3129015863,33.53
55,3643.7241210938,0.3078985214,33.82
56,3626.4106445312,0.3088670373,33.67
57,3653.9426269531,0.2785503864,33.88
58,3626.6616210938,0.2540096045,33.65
59,3641.9970703125,0.3263842463,33.60
60,3634.5107421875,0.2290996462,33.43
61,3643.4953613281,0.2428097427,33.75
62,3658.0634765625,0.2984636128,33.64
63,3635.4943847656,0.2469816357,33.63
64,3660.1318359375,0.2724785805,33.40
65,3671.0781250000,0.2753242850,33.92
66,3656.8603515625,0.2431267947,33.78
67,3677.2919921875,0.1899446547,33.72
68,3677.9638671875,0.2487243116,33.49
69,3684.4245605469,0.2572985291,33.51
70,3660.5468750000,0.2399550229,33.95
71,3658.3962402344,0.1807961911,33.63
72,3652.6821289062,0.1848243177,33.63
73,3666.2385253906,0.1762397736,33.52
74,3682.0717773438,0.2485373020,33.89
75,3686.3027343750,0.2122536004,33.75
76,3689.9477539062,0.2116673738,33.65
77,3701.3479003906,0.1699130237,33.41
78,3673.3564453125,0.1947652698,33.89
79,3691.6450195312,0.1417190284,33.81
80,3715.1147460938,0.1576967835,33.61
81,3715.7141113281,0.1801730245,33.60
82,3716.7700195312,0.1952398270,33.78
83,3699.5842285156,0.1849177033,34.12
84,3680.7180175781,0.1409908235,33.58
85,3680.5825195312,0.1369930208,33.64
86,3693.7170410156,0.1367583275,33.95
87,3676.5981445312,0.1730449945,33.61
88,3672.1228027344,0.1814402044,33.85
89,3671.4797363281,0.1691530049,34.36
90,3688.5073242188,0.1126616150,33.83
91,3687.7387695312,0.1596377939,33.45
92,3687.1813964844,0.1771018207,33.78
93,3680.3388671875,0.2038662434,33.42
94,3706.1440429688,0.2172228247,33.50
95,3708.3356933594,0.1840403825,33.68
96,3668.3327636719,0.1901882589,33.48
97,3679.4377441406,0.1791004241,33.56
98,3686.9499511719,0.1374319792,33.57
99,3734.1240234375,0.1183946580,33.89
100,3712.9531250000,0.1078914329,33.42
101,3692.1877441406,0.1369668245,33.43
102,3704.1552734375,0.1607001424,33.65
103,3702.0378417969,0.1508190632,33.66
104,3701.8425292969,0.0785425529,33.48
105,3698.6101074219,0.1835230440,34.02
106,3674.9880371094,0.1083881631,33.97
107,3691.6271972656,0.1176889762,33.93
108,3686.1730957031,0.2354615480,33.41
109,3675.9365234375,0.1109472066,33.63
110,3722.2138671875,0.1411842704,33.56
111,3697.8852539062,0.1436779499,33.98
112,3682.7287597656,0.1489083022,33.73
113,3672.9160156250,0.1556218117,33.58
114,3700.1901855469,0.1286580414,33.76
115,3718.2309570312,0.1504070461,33.46
116,3680.3425292969,0.1956001818,33.53
117,3690.7990722656,0.1394177079,33.85
118,3705.6760253906,0.0848425925,33.63
119,3714.7385253906,0.1841463298,33.80
120,3669.6296386719,0.1733218431,34.17
121,3639.8078613281,0.0801292434,33.97
122,3683.3115234375,0.0903779045,33.96
123,3696.3962402344,0.1612371057,33.77
124,3685.3864746094,0.1469726562,33.59
125,3672.8017578125,0.1640795916,33.72
126,3705.5368652344,0.1641357392,33.76
127,3667.6457519531,0.1684724540,33.58
128,3692.6730957031,0.1134750396,33.53
129,3692.6918945312,0.1583885998,33.32
130,3708.2722167969,0.1272376180,33.57
131,3683.0361328125,0.0731828660,33.29
132,3668.4978027344,0.1480571181,33.94
133,3717.0578613281,0.0892743915,33.79
134,3706.7929687500,0.1050419733,33.69
135,3711.6315917969,0.1321296692,33.49
136,3742.3532714844,0.1703240573,33.54
137,3691.9458007812,0.1664035916,33.87
138,3731.8957519531,0.1004586369,33.55
139,3738.8745117188,0.1272016913,33.36
140,3726.2414550781,0.1391033083,33.62
141,3740.3845214844,0.0910961628,33.76
142,3721.1804199219,0.1694128215,33.71
143,3719.6992187500,0.0778849497,33.56
144,3750.0888671875,0.1107084900,33.79
145,3701.0756835938,0.0917781442,33.69
146,3711.9843750000,0.1170311719,33.37
147,3723.5939941406,0.1553079039,34.01
148,3726.2207031250,0.1366388947,33.47
149,3667.9760742188,0.0710854381,33.46
150,3716.3176269531,0.1044486612,33.49
151,3774.5021972656,0.0894028172,33.68
152,3702.3105468750,0.0800319090,33.64
153,3718.1799316406,0.1319878250,33.79
154,3726.4189453125,0.0911954716,33.26
155,3730.8657226562,0.1082201079,33.34
156,3740.3735351562,0.1544253379,33.82
157,3773.6621093750,0.0761932060,33.76
158,3775.4099121094,0.1327231526,33.61
159,3763.4824218750,0.1177916378,33.92
160,3741.7077636719,0.1146888062,33.84
161,3740.9926757812,0.1228932962,34.17
162,3739.7597656250,0.1073002666,33.58
163,3733.5021972656,0.0836213231,33.97
164,3742.2922363281,0.1378504485,33.55
165,3728.5993652344,0.0855233967,34.15
166,3727.4570312500,0.0477074459,34.28
167,3715.5805664062,0.1069212407,33.66
168,3722.8215332031,0.0942174494,33.32
169,3759.7070312500,0.1141902953,33.45
170,3769.1879882812,0.2110574543,33.69
171,3751.0678710938,0.0888281092,33.81
172,3772.0891113281,0.0863786042,33.34
173,3751.7473144531,0.0594759211,33.37
174,3756.4453125000,0.0930401757,33.48
175,3759.5112304688,0.1292978376,33.39
176,3765.5146484375,0.1897029281,33.81
177,3780.1049804688,0.0830677450,33.61
178,3726.6188964844,0.0742243826,33.69
179,3695.7529296875,0.1962890029,33.31
180,3729.2263183594,0.1429655999,33.57
181,3707.5339355469,0.0662643537,34.15
182,3765.1088867188,0.0301043224,34.17
183,3730.9306640625,0.0362855718,33.84
184,3745.1533203125,0.1232108250,33.98
185,3721.6694335938,0.1005598456,33.59
186,3744.0097656250,0.1329116374,33.70
187,3751.1313476562,0.0947830155,33.48
188,3744.3806152344,0.1063312590,33.77
189,3724.2319335938,0.1113695949,33.45
190,3693.7761230469,0.0842829347,34.05
191,3778.3979492188,0.1591001451,33.77
192,3753.6120605469,0.0911987871,34.11
193,3806.3166503906,0.1484734416,33.79
194,3767.1767578125,0.0830494240,34.10
195,3797.6828613281,0.1000538543,33.65
196,3786.5954589844,0.1245673597,33.65
197,3805.5317382812,0.0780309290,33.83
198,3757.7099609375,0.1052594930,33.55
199,3781.6936035156,0.0725253746,33.39
