epoch,vae_loss,disc_loss,time_consumed
0,7820.1918945312,0.6808480024,36.21
1,7452.3720703125,0.6164903641,33.62
2,7167.9038085938,0.9033917785,33.42
3,7272.8925781250,0.6791640520,33.34
4,7220.3676757812,0.9073464870,33.34
5,7202.4326171875,0.8905991316,33.40
6,7176.1250000000,0.8726707101,33.79
7,7134.7753906250,0.7732831240,33.31
8,7174.7695312500,1.0018383265,33.93
9,7189.5322265625,0.9405549765,33.38
10,7133.7421875000,0.8388468623,33.85
11,7243.1137695312,0.8421636224,33.70
12,7244.3852539062,0.9010771513,33.33
13,7237.3256835938,0.8726162314,33.29
14,7258.5927734375,0.7581626773,33.29
15,7378.4252929688,0.7210655808,33.34
16,7256.0390625000,0.6500696540,33.55
17,7318.7539062500,0.6876996160,33.33
18,7490.5751953125,0.5753273368,33.91
19,7614.0678710938,0.4364041388,33.27
20,7394.6909179688,0.6663224697,33.32
21,7488.1904296875,0.5839469433,33.95
22,7427.6459960938,0.5921034217,33.23
23,7504.0053710938,0.5408611298,33.51
24,7573.6767578125,0.4362407625,33.25
25,7621.4008789062,0.5037292242,34.15
26,7493.5654296875,0.5356784463,33.49
27,7492.2084960938,0.4585777521,33.69
28,7482.4760742188,0.4274164736,33.44
29,7429.0581054688,0.4554416239,33.51
30,7591.3798828125,0.3490407169,33.39
31,7539.6279296875,0.4199785888,33.54
32,7511.0502929688,0.4308467209,33.72
33,7508.9824218750,0.3592308462,33.67
34,7567.3906250000,0.3831098080,33.37
35,7519.0283203125,0.3355039954,33.34
36,7478.6054687500,0.3558804095,33.68
37,7570.4916992188,0.2737159431,33.84
38,7621.0903320312,0.3978783190,33.72
39,7579.4833984375,0.3023276925,33.84
40,7628.0839843750,0.2880149484,33.25
41,7673.6098632812,0.2438662201,33.20
42,7618.3081054688,0.2788238525,33.36
43,7603.8286132812,0.2893209457,33.92
44,7614.1157226562,0.2878866792,34.31
45,7549.4570312500,0.2503720224,33.95
46,7605.2963867188,0.2310047001,33.44
47,7606.4887695312,0.2988398671,33.73
48,7605.9780273438,0.2766111493,33.64
49,7676.2509765625,0.2529994547,33.85
50,7632.2680664062,0.2813483775,33.72
51,7609.7319335938,0.2452193648,33.38
52,7575.5371093750,0.2779143453,33.32
53,7644.6435546875,0.2118696570,33.47
54,7654.1474609375,0.2236264348,33.75
55,7484.3686523438,0.3145798147,34.01
56,7681.3334960938,0.1407684684,33.68
57,7619.2944335938,0.2188919485,33.41
58,7654.1489257812,0.1944072247,33.42
