epoch,vae_loss,disc_loss,time_consumed
0,7394.6513671875,0.5310741067,35.94
1,7021.3417968750,0.5864117742,33.93
2,6991.6499023438,0.4313255250,34.17
3,6953.8100585938,0.4338076115,34.07
4,6967.1840820312,0.3881067932,34.34
5,6949.8945312500,0.4918082952,33.95
6,6907.0693359375,0.3646014035,34.06
7,6919.4399414062,0.2958474755,34.28
8,6929.5810546875,0.4198115170,34.15
9,6955.4658203125,0.4154726267,33.93
10,6883.5405273438,0.2365567237,33.94
11,6930.4614257812,0.3742773235,33.99
12,6862.5600585938,0.1426402032,34.06
13,6883.6743164062,0.2391664535,34.08
14,6910.2880859375,0.5429976583,34.18
15,6912.8281250000,0.3364464641,34.17
16,6927.4887695312,0.4193353653,34.40
17,6929.4326171875,0.4405745268,33.83
18,6962.4204101562,0.6078758240,34.26
19,6930.2543945312,0.3836104870,34.03
20,6938.7211914062,0.4806758165,33.95
21,6951.8437500000,0.4130427241,34.00
22,6903.2426757812,0.4246397913,34.06
23,6894.2695312500,0.2439174503,33.90
24,6897.7231445312,0.4253730178,34.21
25,6907.7392578125,0.3930508494,34.39
26,6944.7768554688,0.5720609426,34.03
27,6957.8803710938,0.5721382499,34.12
28,6933.7900390625,0.5090994835,33.98
29,6932.4384765625,0.4498053491,33.97
30,6956.0263671875,0.5626356602,34.16
31,6936.5693359375,0.5414393544,34.17
32,6965.4472656250,0.5488059521,34.32
33,6983.9150390625,0.5988472104,33.94
34,6944.7705078125,0.4948372245,34.08
35,6987.3398437500,0.5049637556,34.05
36,6971.1586914062,0.5832062364,34.29
37,6997.2792968750,0.4856625497,34.08
38,7012.6674804688,0.5163315535,34.03
39,7022.9838867188,0.6064227223,34.11
40,7032.0009765625,0.5061981082,34.17
41,6939.4140625000,0.3174385726,34.05
42,6987.1958007812,0.3772902787,33.75
43,6992.5039062500,0.4754508138,34.24
44,7034.9340820312,0.5050624609,34.20
45,7031.5957031250,0.5402542353,34.02
46,7014.7993164062,0.5170690417,34.12
47,7044.6474609375,0.4708753824,34.06
48,7071.7490234375,0.5504212379,33.93
49,7049.3066406250,0.5260471106,33.91
50,7056.1352539062,0.4219470620,34.07
51,7041.4482421875,0.4026991725,34.08
52,7047.2407226562,0.4575396776,33.91
53,7070.3681640625,0.4450709522,33.89
54,7059.6074218750,0.4587910473,33.94
55,7068.0205078125,0.3779082596,33.81
56,7058.5649414062,0.3922905326,33.96
57,7022.5859375000,0.3352384865,33.80
58,6990.9912109375,0.2065957189,33.73
59,7103.6982421875,0.3689292669,33.95
60,7041.4965820312,0.4644646049,34.17
61,7052.9545898438,0.3260932565,34.01
62,7087.8852539062,0.3423527777,34.12
63,7058.6909179688,0.3232058287,33.99
64,7060.2446289062,0.2891227305,34.07
65,7114.7617187500,0.2893856168,33.92
66,7090.4394531250,0.2837414145,34.09
67,7045.1269531250,0.2316307575,34.08
68,7072.9711914062,0.2669584751,33.92
69,7157.0952148438,0.3020419776,34.00
70,7140.0498046875,0.2804272771,33.72
71,7101.5112304688,0.2856629789,34.09
72,7094.2187500000,0.2425726652,33.97
73,7162.3740234375,0.2471281886,33.92
74,7206.1582031250,0.2507884502,33.82
75,7166.4072265625,0.2475047410,33.96
76,7006.6962890625,0.1560596675,33.83
77,7089.0996093750,0.2395333797,33.88
78,7062.4711914062,0.2563762963,33.95
79,7146.8491210938,0.2470498532,33.96
80,7069.7441406250,0.2206737250,34.10
81,7163.8686523438,0.2755409479,34.00
82,7200.3676757812,0.1540209502,33.70
83,7059.7758789062,0.1970563382,34.09
84,7155.4140625000,0.2254417092,33.83
85,7185.6176757812,0.2253368795,34.20
86,7132.5131835938,0.2254209965,33.98
87,7110.5537109375,0.2095896751,34.21
88,7152.6816406250,0.1687858850,33.96
89,7152.3066406250,0.1430955231,34.33
90,7213.5859375000,0.2908973098,34.19
91,7225.3745117188,0.1844906807,33.75
92,7229.6640625000,0.2226356566,33.70
93,7172.1992187500,0.1580345929,34.13
94,7207.3168945312,0.1763258874,33.94
95,7209.4057617188,0.1985152066,34.08
96,7213.0327148438,0.2127617747,33.89
97,7222.7612304688,0.1927333176,33.75
98,7226.1416015625,0.1764426380,33.69
99,7222.2866210938,0.2103604078,34.12
100,7212.0761718750,0.1192097440,33.69
101,7216.0673828125,0.1622415781,33.77
102,7226.7758789062,0.1498564035,34.08
103,7184.2333984375,0.1446454972,33.88
104,7257.5478515625,0.1641502380,33.75
105,7203.7553710938,0.2049525082,33.83
106,7252.6035156250,0.1238988787,33.82
107,7165.2910156250,0.2000503540,33.77
108,7144.8266601562,0.1266767979,34.05
109,7203.0673828125,0.2134243697,33.65
110,7123.5249023438,0.1052027717,33.63
111,7186.7119140625,0.1866373569,33.93
112,7222.2700195312,0.1244964302,33.65
113,7148.0898437500,0.1289728582,34.10
114,7058.5644531250,0.0480255149,33.71
115,7233.6074218750,0.1306305081,33.99
116,7208.5312500000,0.1271135211,34.05
117,7267.9062500000,0.1130111516,33.94
118,7268.7514648438,0.2672719955,33.98
119,7233.0888671875,0.1040256545,33.91
120,7249.1752929688,0.1042371839,33.99
