epoch,vae_loss,disc_loss,time_consumed
0,7238.2563476562,0.6424872279,35.42
1,6919.6064453125,0.1047782302,33.90
2,6838.3779296875,0.0799300596,33.82
3,6818.5942382812,0.2421190292,34.09
4,6848.0722656250,0.3154396415,34.02
5,6817.0043945312,0.1667241156,33.97
6,6825.4770507812,0.1911583990,33.69
7,6849.1044921875,0.2131558508,33.93
8,6812.8754882812,0.0329609104,33.73
9,6829.7543945312,0.1541940123,33.91
10,6826.5043945312,0.2196213007,34.21
11,6861.9633789062,0.2152284980,33.87
12,6862.6547851562,0.3497391939,33.72
13,6868.8359375000,0.2179337144,34.00
14,6855.3491210938,0.2101918608,33.92
15,6866.4350585938,0.2762970030,33.69
16,6879.6298828125,0.2586759925,33.72
17,6879.5952148438,0.2494831830,33.60
18,6834.9907226562,0.1577913910,33.94
19,6763.2148437500,0.0001259752,34.00
20,6763.1777343750,0.0006077443,33.98
21,6838.7519531250,0.1697188765,33.81
22,6831.4877929688,0.2378917485,34.34
23,6751.7617187500,0.0968146920,34.28
24,6795.5668945312,0.1907440424,34.08
25,6749.0424804688,0.0153902704,34.21
26,6843.0449218750,0.2452356368,34.62
27,6819.5141601562,0.1470708996,34.39
28,6866.7128906250,0.2732465267,34.52
29,6879.4340820312,0.2837159932,34.52
30,6871.7387695312,0.2569252253,34.79
31,6853.6547851562,0.2063507289,34.30
32,6890.3315429688,0.3081587553,34.61
33,6838.9331054688,0.2532736361,34.68
34,6726.1962890625,0.0016582781,34.35
35,6720.3793945312,0.0004194394,34.56
36,6758.5444335938,0.0196854025,34.50
37,6853.9277343750,0.1938911378,34.40
38,6890.3115234375,0.2663882077,34.32
39,6869.1704101562,0.2264780849,34.43
40,6884.8989257812,0.2438288331,34.62
41,6874.0424804688,0.2434737831,34.53
42,6873.0986328125,0.2575953007,34.45
43,6834.3315429688,0.1465705335,34.94
44,6857.7587890625,0.1766663343,34.54
45,6846.4233398438,0.1369727552,34.22
46,6854.0732421875,0.2601259649,34.26
47,6834.1499023438,0.1728233546,34.23
48,6855.7641601562,0.2314279974,34.89
49,6875.5214843750,0.2296174169,34.57
50,6881.9038085938,0.2944828570,34.83
51,6881.5083007812,0.2853084505,34.83
52,6881.9047851562,0.2208744437,34.73
53,6826.5639648438,0.1679141521,34.21
54,6839.3178710938,0.1132875755,33.82
55,6868.2348632812,0.2330887914,33.47
56,6864.1542968750,0.2032018006,33.57
57,6861.6704101562,0.1919632256,33.97
58,6795.1259765625,0.1687862575,33.44
