epoch,vae_loss,disc_loss,time_consumed
0,7247.8759765625,0.5286530256,34.33
1,6959.8408203125,0.3067403138,31.17
2,6897.9223632812,0.1907014996,31.09
3,6895.8081054688,0.3761577010,31.18
4,6952.1748046875,0.5160758495,31.13
5,6932.1020507812,0.3535281718,31.39
6,6924.4501953125,0.3081338108,31.32
7,6843.0371093750,0.1909332126,31.37
8,6754.2255859375,0.0005432583,31.13
9,6754.5175781250,0.0003231850,31.13
10,6755.6259765625,0.0002756028,31.01
11,6761.3979492188,0.0003448077,31.51
12,6783.4960937500,0.0327723622,31.22
13,6815.2783203125,0.2982872427,31.08
14,6880.5073242188,0.3776233494,31.12
15,6769.9760742188,0.2300271988,31.16
16,6786.6572265625,0.2117033452,31.47
17,6869.3720703125,0.3169246018,31.20
18,6861.8227539062,0.2216738760,31.06
19,6904.9238281250,0.3665711582,31.49
20,6862.8310546875,0.2205554843,31.61
21,6889.8037109375,0.3790940344,31.13
22,6881.7963867188,0.2264421135,31.20
23,6895.4062500000,0.3051108420,31.26
24,6905.9023437500,0.3188245893,30.96
25,6567.5859375000,0.4262854457,31.25
26,6569.4916992188,0.3472581506,31.19
27,6568.6821289062,0.3353944719,31.36
28,6575.1611328125,0.2884088159,30.99
29,6564.6953125000,0.2597351670,31.08
30,6575.3544921875,0.2393888384,31.01
31,6566.6318359375,0.2272128314,31.63
32,6593.1088867188,0.3828133941,31.33
33,6573.7338867188,0.2858712673,31.44
34,6570.4677734375,0.3207736015,31.69
35,6574.2500000000,0.3176386058,31.19
36,6569.6386718750,0.3108206987,31.21
37,6560.0742187500,0.2497097403,30.93
38,6568.4013671875,0.2701513767,31.16
39,6561.9946289062,0.2612071931,31.11
40,6575.4013671875,0.3264957070,31.43
41,6570.2709960938,0.2405203879,30.98
42,6579.0712890625,0.2569831312,31.16
43,6592.7382812500,0.3026037216,31.19
44,6594.2324218750,0.3619149923,31.17
45,6579.7861328125,0.2578158975,31.04
46,6582.6201171875,0.2826384902,31.35
47,6568.7666015625,0.1992562711,30.92
48,6581.4248046875,0.2525110245,31.26
49,6568.2026367188,0.2769096196,31.05
50,6247.7426757812,0.2412612885,31.24
51,6243.6538085938,0.2292111367,30.95
52,6230.8740234375,0.2730637789,31.04
53,6253.5131835938,0.2401531041,31.06
54,6279.5361328125,0.2946985960,31.17
55,6272.4741210938,0.2775848806,31.40
56,6283.0815429688,0.2902188897,30.86
57,6271.4223632812,0.2593760192,30.96
58,6276.6206054688,0.2755528688,30.99
59,6258.3535156250,0.2981810868,31.21
60,6258.1250000000,0.1983445287,31.52
61,6281.4711914062,0.3064753711,31.40
62,6280.9482421875,0.2637705803,31.09
63,6275.9829101562,0.3042644262,30.90
64,6258.1733398438,0.2131767869,31.35
65,6242.7563476562,0.1680310965,31.16
66,6243.3491210938,0.2206695229,31.18
67,6285.7006835938,0.2999206185,30.89
68,6265.2685546875,0.2386432737,31.31
69,6273.5576171875,0.2506943643,31.39
70,6273.6381835938,0.3236239254,30.85
71,6279.9873046875,0.2280688286,31.41
72,6273.6235351562,0.2634838521,30.96
73,6251.6757812500,0.2521952093,31.49
74,6233.0620117188,0.1634353846,31.34
75,5926.5776367188,0.1820895970,31.43
76,5971.9208984375,0.2581336498,31.09
77,5893.2832031250,0.1723640859,31.09
78,5914.6098632812,0.0966383740,30.93
79,5943.9467773438,0.1835599840,31.21
80,5939.8779296875,0.2055238783,31.07
81,5938.0527343750,0.2352760583,31.16
82,5895.0693359375,0.2091888636,31.14
83,5906.4057617188,0.0971190259,31.03
